IL2DL,sensory
IL2VL,sensory
IL2L,sensory
URADL,sensory
IL1VL,sensory
IL2DR,sensory
IL1DL,sensory
OLLL,sensory
IL1L,sensory
URYDL,sensory
OLQDL,sensory
URYDR,sensory
IL2R,sensory
URYVL,sensory
RIPL,inter
OLLR,sensory
URBL,inter
IL2VR,sensory
IL1DR,sensory
URADR,sensory
IL1R,sensory
URAVL,sensory
OLQVL,sensory
RMED,motor
URBR,inter
OLQDR,sensory
URYVR,sensory
RIPR,inter
RMEL,motor
BAGL,sensory
CEPVL,sensory
BAGR,sensory
OLQVR,sensory
URAVR,sensory
RMER,motor
IL1VR,sensory
RID,motor
CEPVR,sensory
RMEV,motor
CEPDL,sensory
RMDVL,motor
SAAVL,inter
SMDVL,motor
URXL,sensory
ALA,inter
RMDVR,motor
CEPDR,sensory
AVAL,inter
RIAL,inter
ASKL,sensory
SAAVR,inter
RMDL,motor
URXR,sensory
SMDVR,motor
AFDL,sensory
AVAR,inter
RIAR,inter
ASKR,sensory
AVEL,inter
ADLL,sensory
ADFL,sensory
RMDR,motor
AFDR,sensory
SIBDL,inter
RIH,inter
AWBL,sensory
AVER,inter
RMDDL,motor
AWCL,sensory
ADFR,sensory
ASGL,sensory
SAADL,inter
ADLR,sensory
AWAL,sensory
AWBR,sensory
ASIL,sensory
ASHL,sensory
SIBDR,inter
ASGR,sensory
AIBL,inter
ASHR,sensory
AWCR,sensory
AWAR,sensory
SIBVL,inter
RIVL,motor
SMDDL,motor
SAADR,inter
RMHL,motor
RMDDR,motor
ASIR,sensory
AVHL,inter
AVHR,inter
RIVR,motor
AIBR,inter
RIBL,inter
RMFL,motor
AVBL,inter
SIBVR,inter
ASEL,sensory
AVJR,inter
AUAL,inter
SIADL,inter
RMHR,motor
AVJL,inter
ASER,sensory
AVBR,inter
RIBR,inter
RMFR,motor
SMDDR,motor
AIAL,inter
RIR,inter
SMBDL,motor
RIML,motor
ASJL,sensory
RIMR,motor
AUAR,inter
AVDR,inter
SMBVR,motor
AVDL,inter
AINL,inter
SMBVL,motor
ASJR,sensory
AINR,inter
SIADR,inter
AVL,motor
RICL,inter
AIAR,inter
SMBDR,motor
AIZR,inter
SIAVL,inter
SIAVR,inter
RICR,inter
AIZL,inter
AIYR,inter
AIMR,inter
AIML,inter
RIS,inter
AIYL,inter
VB02,motor
AVKR,inter
AVKL,inter
AVFR,inter
SABVL,inter
FLPL,sensory
FLPR,sensory
SABVR,inter
AVFL,inter
AQR,sensory
RIFR,inter
ADEL,sensory
VB01,motor
ADER,sensory
DB02,motor
ADAR,inter
ADAL,inter
RIGR,inter
RMGL,motor
RMGR,motor
RIFL,inter
AVG,inter
VA01,motor
SABD,inter
RIGL,inter
DD01,motor
DB01,motor
AS01,motor
VD01,motor
DA01,motor
VD02,motor
VA02,motor
VB03,motor
AS02,motor
DB03,motor
DA02,motor
VD03,motor
BDUR,inter
BDUL,inter
VA03,motor
SDQR,inter
VB04,motor
VC01,motor
DD02,motor
AS03,motor
VD04,motor
DA03,motor
VA04,motor
VB05,motor
VC02,motor
DB04,motor
AS04,motor
VD05,motor
VA05,motor
AVM,sensory
VB06,motor
DA04,motor
DD03,motor
ALML,sensory
ALMR,sensory
VC03,motor
AS05,motor
VD06,motor
VA06,motor
VB07,motor
DB05,motor
AS06,motor
VD07,motor
VC04,motor
DA05,motor
VC05,motor
HSNR,motor
HSNL,motor
VA07,motor
VB08,motor
AS07,motor
DD04,motor
VD08,motor
VA08,motor
VB09,motor
DB06,motor
AS08,motor
PDEL,sensory
VD09,motor
PDER,sensory
SDQL,inter
DA06,motor
PVDL,sensory
PVDR,sensory
PVM,sensory
VA09,motor
VB10,motor
AS09,motor
DD05,motor
VD10,motor
VA10,motor
VB11,motor
DB07,motor
AS10,motor
DA07,motor
VD11,motor
VA11,motor
AS11,motor
VD12,motor
PVPR,inter
PVT,inter
VA12,motor
DD06,motor
PVPL,inter
DA08,motor
DA09,motor
PDB,motor
VD13,motor
PDA,motor
DVB,motor
DVA,inter
DVC,inter
PVQR,inter
PHAL,sensory
PHAR,sensory
PVQL,inter
PLNR,sensory
LUAL,inter
PVCL,inter
PHBR,sensory
ALNL,sensory
PHBL,sensory
LUAR,inter
ALNR,sensory
PVCR,inter
PQR,sensory
PVR,inter
PVWL,inter
PVWR,inter
PLNL,sensory
PHCR,sensory
PHCL,sensory
PVNR,inter
PLMR,sensory
PVNL,inter
PLML,sensory
